rank,path_id,risk_score,risk_level,hop_count,exploit_stage_count,access_condition_count,final_target,maximum_cvss,maximum_epss,kev_present,cvss_component,epss_component,kev_component,asset_criticality_component,path_efficiency_component,average_access_confidence,evidence_multiplier,assumption_multiplier,scenario_assumption_count,cve_coverage,vulnerabilities,access_conditions,compromised_assets,path_labels,node_ids
11,PATH-0034,57.2219,High,7,1,2,DatabaseServer,7.5,0.50723,False,0.75,0.50723,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-2336,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-2336 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-2336;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
12,PATH-0029,54.3807,Medium,7,1,2,DatabaseServer,4.3,0.82756,False,0.43,0.82756,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-0053,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-0053 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-0053;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
13,PATH-0070,54.3807,Medium,7,1,2,DatabaseServer,4.3,0.82756,False,0.43,0.82756,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-0053,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2012-0053 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2012-0053;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
14,PATH-0132,54.3807,Medium,7,1,2,DatabaseServer,4.3,0.82756,False,0.43,0.82756,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-0053,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2012-0053 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2012-0053;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
15,PATH-0016,53.8154,Medium,7,1,2,DatabaseServer,10.0,0.0464,False,1.0,0.0464,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2008-5305,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2008-5305 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2008-5305;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
16,PATH-0088,53.7008,Medium,7,1,2,DatabaseServer,9.8,0.06878,False,0.98,0.06878,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2017-14596,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2017-14596 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2017-14596;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
17,PATH-0140,53.7008,Medium,7,1,2,DatabaseServer,9.8,0.06878,False,0.98,0.06878,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2017-14596,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2017-14596 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2017-14596;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
18,PATH-0015,53.1749,Medium,7,1,2,DatabaseServer,10.0,0.02243,False,1.0,0.02243,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2008-5304,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2008-5304 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2008-5304;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
19,PATH-0093,52.6465,Medium,7,1,2,DatabaseServer,9.8,0.02932,False,0.98,0.02932,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-15882,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2018-15882 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2018-15882;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
20,PATH-0145,52.6465,Medium,7,1,2,DatabaseServer,9.8,0.02932,False,0.98,0.02932,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-15882,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2018-15882 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2018-15882;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
21,PATH-0033,52.3642,Medium,7,1,2,DatabaseServer,7.5,0.32542,False,0.75,0.32542,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-2335,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-2335 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-2335;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
