rank,path_id,risk_score,risk_level,hop_count,exploit_stage_count,access_condition_count,final_target,maximum_cvss,maximum_epss,kev_present,cvss_component,epss_component,kev_component,asset_criticality_component,path_efficiency_component,average_access_confidence,evidence_multiplier,assumption_multiplier,scenario_assumption_count,cve_coverage,vulnerabilities,access_conditions,compromised_assets,path_labels,node_ids
32,PATH-0077,47.5049,Medium,7,1,2,DatabaseServer,5.8,0.37022,False,0.58,0.37022,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-7883,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2014-7883 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2014-7883;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
33,PATH-0134,47.5049,Medium,7,1,2,DatabaseServer,5.8,0.37022,False,0.58,0.37022,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-7883,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2014-7883 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2014-7883;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
34,PATH-0023,46.2589,Medium,7,1,2,DatabaseServer,8.1,0.01692,False,0.81,0.01692,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-0386,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2010-0386 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2010-0386;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
35,PATH-0062,46.2589,Medium,7,1,2,DatabaseServer,8.1,0.01692,False,0.81,0.01692,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-0386,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2010-0386 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2010-0386;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
36,PATH-0121,46.2589,Medium,7,1,2,DatabaseServer,8.1,0.01692,False,0.81,0.01692,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-0386,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-0386 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-0386;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
37,PATH-0078,44.2435,Medium,7,1,2,DatabaseServer,7.5,0.02149,False,0.75,0.02149,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-8363,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2014-8363 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2014-8363;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
38,PATH-0135,44.2435,Medium,7,1,2,DatabaseServer,7.5,0.02149,False,0.75,0.02149,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-8363,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2014-8363 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2014-8363;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
39,PATH-0036,44.1634,Medium,7,1,2,DatabaseServer,7.5,0.01849,False,0.75,0.01849,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2016-10143,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2016-10143 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2016-10143;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
40,PATH-0083,44.1634,Medium,7,1,2,DatabaseServer,7.5,0.01849,False,0.75,0.01849,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2016-10143,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2016-10143 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2016-10143;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
41,PATH-0137,44.1634,Medium,7,1,2,DatabaseServer,7.5,0.01849,False,0.75,0.01849,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2016-10143,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2016-10143 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2016-10143;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
42,PATH-0027,44.1156,Medium,7,1,2,DatabaseServer,7.5,0.0167,False,0.75,0.0167,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1136,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2010-1136 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2010-1136;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
43,PATH-0066,44.1156,Medium,7,1,2,DatabaseServer,7.5,0.0167,False,0.75,0.0167,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1136,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2010-1136 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2010-1136;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
44,PATH-0128,44.1156,Medium,7,1,2,DatabaseServer,7.5,0.0167,False,0.75,0.0167,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1136,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-1136 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-1136;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
45,PATH-0079,44.1057,Medium,7,1,2,DatabaseServer,7.5,0.01633,False,0.75,0.01633,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-8364,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2014-8364 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2014-8364;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
46,PATH-0136,44.1057,Medium,7,1,2,DatabaseServer,7.5,0.01633,False,0.75,0.01633,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-8364,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2014-8364 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2014-8364;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
47,PATH-0026,44.0843,Medium,7,1,2,DatabaseServer,7.5,0.01553,False,0.75,0.01553,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1135,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2010-1135 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2010-1135;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
48,PATH-0065,44.0843,Medium,7,1,2,DatabaseServer,7.5,0.01553,False,0.75,0.01553,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1135,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2010-1135 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2010-1135;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
49,PATH-0127,44.0843,Medium,7,1,2,DatabaseServer,7.5,0.01553,False,0.75,0.01553,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1135,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-1135 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-1135;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
50,PATH-0024,44.0482,Medium,7,1,2,DatabaseServer,7.5,0.01418,False,0.75,0.01418,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1133,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2010-1133 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2010-1133;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
51,PATH-0063,44.0482,Medium,7,1,2,DatabaseServer,7.5,0.01418,False,0.75,0.01418,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1133,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2010-1133 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2010-1133;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
52,PATH-0125,44.0482,Medium,7,1,2,DatabaseServer,7.5,0.01418,False,0.75,0.01418,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1133,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-1133 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-1133;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
53,PATH-0025,44.0084,Medium,7,1,2,DatabaseServer,7.5,0.01269,False,0.75,0.01269,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1134,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2010-1134 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2010-1134;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
54,PATH-0064,44.0084,Medium,7,1,2,DatabaseServer,7.5,0.01269,False,0.75,0.01269,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1134,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2010-1134 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2010-1134;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
55,PATH-0126,44.0084,Medium,7,1,2,DatabaseServer,7.5,0.01269,False,0.75,0.01269,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-1134,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-1134 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-1134;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
56,PATH-0092,43.9454,Medium,7,1,2,DatabaseServer,7.5,0.01033,False,0.75,0.01033,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-15880,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2018-15880 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2018-15880;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
57,PATH-0144,43.9454,Medium,7,1,2,DatabaseServer,7.5,0.01033,False,0.75,0.01033,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-15880,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2018-15880 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2018-15880;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
58,PATH-0001,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.103185,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:21/tcp ftp -> 1.3.6.1.4.1.25623.1.0.103185 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|21;VULNERABILITY|192.168.100.7|tcp|21|1.3.6.1.4.1.25623.1.0.103185;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
59,PATH-0005,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.10498,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> 1.3.6.1.4.1.25623.1.0.10498 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|1.3.6.1.4.1.25623.1.0.10498;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
60,PATH-0007,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.11229,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> 1.3.6.1.4.1.25623.1.0.11229 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|1.3.6.1.4.1.25623.1.0.11229;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
61,PATH-0040,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.103114,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> 1.3.6.1.4.1.25623.1.0.103114 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|1.3.6.1.4.1.25623.1.0.103114;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
62,PATH-0048,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.11229,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> 1.3.6.1.4.1.25623.1.0.11229 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|1.3.6.1.4.1.25623.1.0.11229;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
63,PATH-0100,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.103114,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> 1.3.6.1.4.1.25623.1.0.103114 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|1.3.6.1.4.1.25623.1.0.103114;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
64,PATH-0105,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.11229,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> 1.3.6.1.4.1.25623.1.0.11229 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|1.3.6.1.4.1.25623.1.0.11229;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
65,PATH-0152,43.6694,Medium,7,1,2,DatabaseServer,7.5,0.0,False,0.75,0.0,0.0,1.0,0.806452,0.75,0.9375,0.95,1,0.0,1.3.6.1.4.1.25623.1.0.103550,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:8080/tcp http -> 1.3.6.1.4.1.25623.1.0.103550 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|8080;VULNERABILITY|192.168.100.8|tcp|8080|1.3.6.1.4.1.25623.1.0.103550;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
66,PATH-0008,43.1549,Medium,7,1,2,DatabaseServer,5.0,0.31408,False,0.5,0.31408,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-1999-0678,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-1999-0678 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-1999-0678;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
67,PATH-0122,41.4602,Medium,7,1,2,DatabaseServer,6.8,0.01065,False,0.68,0.01065,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-0636,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-0636 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-0636;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
68,PATH-0123,41.3357,Medium,7,1,2,DatabaseServer,6.8,0.00599,False,0.68,0.00599,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2010-0637,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2010-0637 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2010-0637;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
69,PATH-0022,41.33,Medium,7,1,2,DatabaseServer,6.8,0.00578,False,0.68,0.00578,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2009-4898,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2009-4898 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2009-4898;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
