cve_id,finding_count,host_count,hosts,ports,protocols,max_openvas_cvss,severities,nvt_names
CVE-2012-2336,1,1,192.168.100.7,80,tcp,7.5,High,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.
CVE-2012-4929,1,1,192.168.100.8,443,tcp,2.6,Low,SSL/TLS: TLS/SPDY Protocol Information Disclosure Vulnerability (CRIME)
CVE-2012-4930,1,1,192.168.100.8,443,tcp,2.6,Low,SSL/TLS: TLS/SPDY Protocol Information Disclosure Vulnerability (CRIME)
CVE-2012-6708,1,1,192.168.100.8,8081,tcp,4.3,Medium,jQuery < 1.9.0 XSS Vulnerability
CVE-2013-2566,2,2,192.168.100.7;192.168.100.8,443;5432,tcp,4.3,Medium,SSL/TLS: Report Weak Cipher Suites
CVE-2014-0224,2,2,192.168.100.7;192.168.100.8,443;5432,tcp,6.8,Medium,SSL/TLS: OpenSSL CCS Man in the Middle Security Bypass Vulnerability
CVE-2014-3566,6,2,192.168.100.7;192.168.100.8,25;443;5432,tcp,4.3,Medium,SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection;SSL/TLS: SSLv3 Protocol CBC Cipher Suites Information Disclosure Vulnerability (POODLE)
CVE-2014-7883,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2014-8363,2,1,192.168.100.8,443;80,tcp,7.5,High,WordPress Spreadsheet plugin Multiple Vulnerabilities
CVE-2014-8364,2,1,192.168.100.8,443;80,tcp,7.5,High,WordPress Spreadsheet plugin Multiple Vulnerabilities
CVE-2015-0204,1,1,192.168.100.7,25,tcp,4.3,Medium,SSL/TLS: RSA Temporary Key Handling RSA_EXPORT Downgrade Issue (FREAK)
CVE-2015-2808,2,2,192.168.100.7;192.168.100.8,443;5432,tcp,4.3,Medium,SSL/TLS: Report Weak Cipher Suites
CVE-2015-4000,3,2,192.168.100.7;192.168.100.8,25;443;5432,tcp,4.3,Medium,SSL/TLS: DHE_EXPORT Man in the Middle Security Bypass Vulnerability (LogJam);SSL/TLS: Report Weak Cipher Suites
CVE-2016-0800,3,2,192.168.100.7;192.168.100.8,25;443;5432,tcp,4.3,Medium,SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection
CVE-2016-10143,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.0,Medium,Tiki Wiki CMS Groupware fixedURLData Local File Inclusion Vulnerability
CVE-2016-1776,2,1,192.168.100.8,443;80,tcp,5.0,Medium,MacOS X Finder .DS_Store Information Disclosure
CVE-2016-2183,1,1,192.168.100.8,443,tcp,5.0,Medium,SSL/TLS: Report Vulnerable Cipher Suites for HTTPS
CVE-2016-6329,1,1,192.168.100.8,443,tcp,5.0,Medium,SSL/TLS: Report Vulnerable Cipher Suites for HTTPS
CVE-2016-7144,1,1,192.168.100.7,6667,tcp,6.8,Medium,UnrealIRCd Authentication Spoofing Vulnerability
CVE-2017-11612,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Joomla! Core Cross-Site Scripting Vulnerability - July17
CVE-2017-14596,4,1,192.168.100.8,443;80,tcp,5.0,Medium,Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability;Joomla! Core LDAP Information Disclosure Vulnerability Nov17
CVE-2017-7983,2,1,192.168.100.8,443;80,tcp,5.0,Medium,Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
CVE-2017-7985,2,1,192.168.100.8,443;80,tcp,5.0,Medium,Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
CVE-2017-7986,2,1,192.168.100.8,443;80,tcp,5.0,Medium,Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
CVE-2018-15880,2,1,192.168.100.8,443;80,tcp,7.5,High,Joomla! < 3.8.12 Multiple Vulnerabilities
CVE-2018-15882,2,1,192.168.100.8,443;80,tcp,7.5,High,Joomla! < 3.8.12 Multiple Vulnerabilities
CVE-2018-17855,2,1,192.168.100.8,443;80,tcp,6.5,Medium,Joomla! < 3.8.13 ACL Violation Vulnerability
CVE-2018-20212,1,1,192.168.100.7,80,tcp,4.3,Medium,TWiki < 6.1.0 XSS Vulnerability
CVE-2018-20719,3,2,192.168.100.7;192.168.100.8,443;80,tcp,6.5,Medium,Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability
CVE-2018-6378,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Joomla! Core Media Manager XSS Vulnerability (20180509)
CVE-2018-6379,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Joomla! Uri class XSS Vulnerability
CVE-2018-6470,2,1,192.168.100.8,443;80,tcp,5.0,Medium,MacOS X Finder .DS_Store Information Disclosure
CVE-2018-7188,3,2,192.168.100.7;192.168.100.8,443;80,tcp,3.5,Low,Tiki Wiki CMS Groupware XSS Vulnerability
