node,type,ip,name,role,criticality,target,port,protocol,service,product,cve,nvt,cvss,epss,kev
vuln:192.168.100.7:fb246ef0-e2c4-46e0-bbfc-bc79e2072ce1,vulnerability,,,,,,,,,,,VNC Brute Force Login,0.0,0.0,False
vuln:192.168.100.7:d8f33558-3e05-4f5b-b0fa-e18523974e26,vulnerability,,,,,,,,,,,PostgreSQL weak password,0.0,0.0,False
vuln:192.168.100.7:4e36d190-277c-45b8-8cfc-44f11c1cb599,vulnerability,,,,,,,,,,,rsh Unencrypted Cleartext Login,0.0,0.0,False
vuln:192.168.100.7:6d81c728-75b6-4c97-b1a9-94ea6347ccdf,vulnerability,,,,,,,,,,,phpinfo() output Reporting,0.0,0.0,False
vuln:192.168.100.7:CVE-2010-1135,vulnerability,,,,,,,,,,CVE-2010-1135,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities,7.5,0.01553,False
vuln:192.168.100.7:CVE-2010-1134,vulnerability,,,,,,,,,,CVE-2010-1134,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities,7.5,0.01269,False
vuln:192.168.100.7:CVE-2010-1133,vulnerability,,,,,,,,,,CVE-2010-1133,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities,7.5,0.01418,False
vuln:192.168.100.7:CVE-2010-1136,vulnerability,,,,,,,,,,CVE-2010-1136,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities,7.5,0.0167,False
vuln:192.168.100.7:100eb630-3410-4fbd-8eef-eed3e38fe6b2,vulnerability,,,,,,,,,,,rlogin Passwordless / Unencrypted Cleartext Login,0.0,0.0,False
vuln:192.168.100.7:b546632b-8866-469d-bb96-720343a9eab5,vulnerability,,,,,,,,,,,Test HTTP dangerous methods,0.0,0.0,False
vuln:192.168.100.7:ce2b8e86-3ced-462b-b89e-d59375565eaf,vulnerability,,,,,,,,,,,vsftpd Compromised Source Packages Backdoor Vulnerability,0.0,0.0,False
vuln:192.168.100.7:CVE-2012-1823,vulnerability,,,,,,,,,,CVE-2012-1823,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.,9.8,0.99998,True
vuln:192.168.100.7:CVE-2012-2311,vulnerability,,,,,,,,,,CVE-2012-2311,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.,7.5,0.69559,False
vuln:192.168.100.7:CVE-2012-2336,vulnerability,,,,,,,,,,CVE-2012-2336,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.,5.0,0.50723,False
vuln:192.168.100.7:CVE-2012-2335,vulnerability,,,,,,,,,,CVE-2012-2335,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.,7.5,0.32542,False
vuln:192.168.100.7:48a6f23f-a677-46fc-9606-963282adbeea,vulnerability,,,,,,,,,,,SSH Brute Force Logins With Default Credentials Reporting,0.0,0.0,False
vuln:192.168.100.7:CVE-2016-7144,vulnerability,,,,,,,,,,CVE-2016-7144,UnrealIRCd Authentication Spoofing Vulnerability,8.1,0.01281,False
vuln:192.168.100.7:CVE-2009-4898,vulnerability,,,,,,,,,,CVE-2009-4898,TWiki Cross-Site Request Forgery Vulnerability - Sep10,6.8,0.00578,False
vuln:192.168.100.7:CVE-2011-0411,vulnerability,,,,,,,,,,CVE-2011-0411,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.16334,False
vuln:192.168.100.7:CVE-2011-1430,vulnerability,,,,,,,,,,CVE-2011-1430,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.03212,False
vuln:192.168.100.7:CVE-2011-1431,vulnerability,,,,,,,,,,CVE-2011-1431,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.04593,False
vuln:192.168.100.7:CVE-2011-1432,vulnerability,,,,,,,,,,CVE-2011-1432,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.02283,False
vuln:192.168.100.7:CVE-2011-1506,vulnerability,,,,,,,,,,CVE-2011-1506,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.02471,False
vuln:192.168.100.7:CVE-2011-1575,vulnerability,,,,,,,,,,CVE-2011-1575,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,5.8,0.33341,False
vuln:192.168.100.7:CVE-2011-1926,vulnerability,,,,,,,,,,CVE-2011-1926,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,5.1,0.03999,False
vuln:192.168.100.7:CVE-2011-2165,vulnerability,,,,,,,,,,CVE-2011-2165,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability,6.8,0.05156,False
vuln:192.168.100.7:CVE-2014-0224,vulnerability,,,,,,,,,,CVE-2014-0224,SSL/TLS: OpenSSL CCS Man in the Middle Security Bypass Vulnerability,7.4,0.95326,False
vuln:192.168.100.7:CVE-2018-20719,vulnerability,,,,,,,,,,CVE-2018-20719,Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability,8.8,0.00995,False
vuln:192.168.100.7:6d6d6aa5-f574-4cb1-bd3e-66253bf76fd8,vulnerability,,,,,,,,,,,Anonymous FTP Login Reporting,0.0,0.0,False
vuln:192.168.100.7:CVE-2009-1339,vulnerability,,,,,,,,,,CVE-2009-1339,TWiki Cross-Site Request Forgery Vulnerability,6.0,0.00748,False
vuln:192.168.100.7:CVE-2003-1567,vulnerability,,,,,,,,,,CVE-2003-1567,HTTP Debugging Methods (TRACE/TRACK) Enabled,7.5,0.25249,False
vuln:192.168.100.7:CVE-2004-2320,vulnerability,,,,,,,,,,CVE-2004-2320,HTTP Debugging Methods (TRACE/TRACK) Enabled,5.3,0.02582,False
vuln:192.168.100.7:CVE-2004-2763,vulnerability,,,,,,,,,,CVE-2004-2763,HTTP Debugging Methods (TRACE/TRACK) Enabled,5.8,0.02178,False
vuln:192.168.100.7:CVE-2005-3398,vulnerability,,,,,,,,,,CVE-2005-3398,HTTP Debugging Methods (TRACE/TRACK) Enabled,4.3,0.13108,False
vuln:192.168.100.7:CVE-2006-4683,vulnerability,,,,,,,,,,CVE-2006-4683,HTTP Debugging Methods (TRACE/TRACK) Enabled,5.0,0.0133,False
vuln:192.168.100.7:CVE-2007-3008,vulnerability,,,,,,,,,,CVE-2007-3008,HTTP Debugging Methods (TRACE/TRACK) Enabled,4.3,0.01454,False
vuln:192.168.100.7:CVE-2008-7253,vulnerability,,,,,,,,,,CVE-2008-7253,HTTP Debugging Methods (TRACE/TRACK) Enabled,4.3,0.02093,False
vuln:192.168.100.7:CVE-2009-2823,vulnerability,,,,,,,,,,CVE-2009-2823,HTTP Debugging Methods (TRACE/TRACK) Enabled,4.3,0.01684,False
vuln:192.168.100.7:CVE-2010-0386,vulnerability,,,,,,,,,,CVE-2010-0386,HTTP Debugging Methods (TRACE/TRACK) Enabled,8.1,0.01692,False
vuln:192.168.100.7:CVE-2012-2223,vulnerability,,,,,,,,,,CVE-2012-2223,HTTP Debugging Methods (TRACE/TRACK) Enabled,4.3,0.01344,False
vuln:192.168.100.7:CVE-2014-7883,vulnerability,,,,,,,,,,CVE-2014-7883,HTTP Debugging Methods (TRACE/TRACK) Enabled,5.0,0.37022,False
vuln:192.168.100.7:265082aa-8856-41ed-86f0-e346938b252c,vulnerability,,,,,,,,,,,SSL/TLS: Certificate Expired,0.0,0.0,False
