node,type,ip,name,role,criticality,target,port,protocol,service,product,cve,nvt,cvss,epss,kev
vuln:192.168.100.8:b78bc3fc-6531-4577-b162-d5267b796f45,vulnerability,,,,,,,,,,,SSH Weak Encryption Algorithms Supported,0.0,0.0,False
vuln:192.168.100.8:CVE-2016-0800,vulnerability,,,,,,,,,,CVE-2016-0800,SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection,5.9,0.82112,False
vuln:192.168.100.8:CVE-2014-3566,vulnerability,,,,,,,,,,CVE-2014-3566,SSL/TLS: SSLv3 Protocol CBC Cipher Suites Information Disclosure Vulnerability (POODLE),3.4,0.99999,False
vuln:192.168.100.8:CVE-2013-2566,vulnerability,,,,,,,,,,CVE-2013-2566,SSL/TLS: Report Weak Cipher Suites,5.9,0.84424,False
vuln:192.168.100.8:CVE-2015-2808,vulnerability,,,,,,,,,,CVE-2015-2808,SSL/TLS: Report Weak Cipher Suites,3.7,0.73851,False
vuln:192.168.100.8:CVE-2015-4000,vulnerability,,,,,,,,,,CVE-2015-4000,SSL/TLS: Report Weak Cipher Suites,3.7,0.9986,False
vuln:192.168.100.8:CVE-2003-1418,vulnerability,,,,,,,,,,CVE-2003-1418,Apache Web Server ETag Header Information Disclosure Weakness,4.3,0.06581,False
vuln:192.168.100.8:CVE-2018-6379,vulnerability,,,,,,,,,,CVE-2018-6379,Joomla! Uri class XSS Vulnerability,6.1,0.01665,False
vuln:192.168.100.8:CVE-2012-6708,vulnerability,,,,,,,,,,CVE-2012-6708,jQuery < 1.9.0 XSS Vulnerability,6.1,0.08632,False
vuln:192.168.100.8:CVE-2018-6378,vulnerability,,,,,,,,,,CVE-2018-6378,Joomla! Core Media Manager XSS Vulnerability (20180509),6.1,0.01413,False
vuln:192.168.100.8:3e0962d7-a130-430f-a459-db07c3588dff,vulnerability,,,,,,,,,,,WebCalendar Multiple Cross Site Scripting Vulnerabilities,0.0,0.0,False
vuln:192.168.100.8:CVE-2017-11612,vulnerability,,,,,,,,,,CVE-2017-11612,Joomla! Core Cross-Site Scripting Vulnerability - July17,6.1,0.00965,False
vuln:192.168.100.8:CVE-2010-3712,vulnerability,,,,,,,,,,CVE-2010-3712,Joomla! Multiple Cross-site Scripting Vulnerabilities,4.3,0.01528,False
vuln:192.168.100.8:CVE-2012-0053,vulnerability,,,,,,,,,,CVE-2012-0053,Apache HTTP Server httpOnly Cookie Information Disclosure Vulnerability,4.3,0.82756,False
vuln:192.168.100.8:CVE-2010-4480,vulnerability,,,,,,,,,,CVE-2010-4480,phpMyAdmin error.php Cross Site Scripting Vulnerability,4.3,0.05829,False
vuln:192.168.100.8:f3e47bcd-8097-4779-bae0-ffdbf316ba73,vulnerability,,,,,,,,,,,OrangeHRM jobVacancy.php Cross Site Scripting Vulnerability,0.0,0.0,False
vuln:192.168.100.8:c7c6ffa6-15d7-4ebe-9414-f1bf7e81bdb0,vulnerability,,,,,,,,,,,OrangeHRM jobVacancy.php Cross Site Scripting Vulnerability,0.0,0.0,False
vuln:192.168.100.8:CVE-2009-1204,vulnerability,,,,,,,,,,CVE-2009-1204,Tiki Wiki CMS Groupware Multiple Cross Site Scripting Vulnerabilities,4.3,0.0454,False
vuln:192.168.100.8:7dfca94b-fc82-4bbf-8bab-43c5bddc308e,vulnerability,,,,,,,,,,,SSL/TLS: Certificate Signed Using A Weak Signature Algorithm,0.0,0.0,False
vuln:192.168.100.8:035381ad-669d-446a-9c20-c5fb67fd77bb,vulnerability,,,,,,,,,,,SSL/TLS: Diffie-Hellman Key Exchange Insufficient DH Group Strength Vulnerability,0.0,0.0,False
vuln:192.168.100.8:CVE-2018-7188,vulnerability,,,,,,,,,,CVE-2018-7188,Tiki Wiki CMS Groupware XSS Vulnerability,5.4,0.00516,False
vuln:192.168.100.8:ad7a1731-2d85-403c-afe8-b59c96b166e4,vulnerability,,,,,,,,,,,SSH Weak MAC Algorithms Supported,0.0,0.0,False
vuln:192.168.100.8:CVE-2009-0796,vulnerability,,,,,,,,,,CVE-2009-0796,Apache mod_perl Apache::Status and Apache2::Status Cross Site Scripting Vulnerability,2.6,0.29638,False
vuln:192.168.100.8:CVE-2012-4929,vulnerability,,,,,,,,,,CVE-2012-4929,SSL/TLS: TLS/SPDY Protocol Information Disclosure Vulnerability (CRIME),2.6,0.04266,False
vuln:192.168.100.8:CVE-2012-4930,vulnerability,,,,,,,,,,CVE-2012-4930,SSL/TLS: TLS/SPDY Protocol Information Disclosure Vulnerability (CRIME),2.6,0.02079,False
