result_id,ip,port,protocol,service,product,version,cvss,severity,nvt_name,cves,match_type
78c2ae45-ca94-46a1-9f79-be2fa2b050bb,192.168.100.8,,,,,,10.0,High,OS End Of Life Detection,NOCVE,host_level
7b588036-d6dd-44e4-9102-73c0bc5d9742,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,7.5,High,Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities,NOCVE,service_match
c260e351-dae8-4456-b4e4-c7bc3e7ac66e,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,7.5,High,Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities,NOCVE,service_match
e895d757-cb4a-484a-92f1-91c6c7b0f215,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,7.5,High,phpinfo() output Reporting,NOCVE,service_match
52f4dff6-b3b6-43b4-a376-a6a299d3797d,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,7.5,High,phpinfo() output Reporting,NOCVE,service_match
5467068c-d616-4a4c-aba7-047ccb657d1e,192.168.100.8,8080.0,tcp,http,Apache Tomcat/Coyote JSP engine,1.1,7.5,High,Apache Tomcat Manager Remote Unauthorized Access Vulnerability,NOCVE,service_match
63268a34-433a-4469-9a3a-78aed1609dae,192.168.100.8,8080.0,tcp,http,Apache Tomcat/Coyote JSP engine,1.1,6.8,Medium,Apache Tomcat servlet/JSP container default files,NOCVE,service_match
98fcad6b-1eca-442a-922e-937211b0da11,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,Source Control Management (SCM) Files Accessible,NOCVE,service_match
39d4b859-0873-4cf4-9e21-0a53b79901bd,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,Source Control Management (SCM) Files Accessible,NOCVE,service_match
df781c15-223b-4617-a039-28a0b77b315c,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,SSL/TLS: Certificate Expired,NOCVE,service_match
b41e8702-3c76-4f26-b9f5-da2d87e22191,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,Sensitive File Disclosure (HTTP),NOCVE,service_match
1b4875cc-bee0-4661-b7bd-a267fa5ec991,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,awiki Multiple Local File Include Vulnerabilities,NOCVE,service_match
521adaef-7c7c-4f55-b1b2-9f065f4d12bb,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,5.0,Medium,awiki Multiple Local File Include Vulnerabilities,NOCVE,service_match
76271cf1-58a7-4850-be16-1b74b0cddbc1,192.168.100.8,8080.0,tcp,http,Apache Tomcat/Coyote JSP engine,1.1,4.8,Medium,Cleartext Transmission of Sensitive Information via HTTP,NOCVE,service_match
eab80bde-56fa-45b7-b810-c51b67f3b151,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,4.8,Medium,Cleartext Transmission of Sensitive Information via HTTP,NOCVE,service_match
b78bc3fc-6531-4577-b162-d5267b796f45,192.168.100.8,22.0,tcp,ssh,OpenSSH,5.3p1 Debian 3ubuntu4,4.3,Medium,SSH Weak Encryption Algorithms Supported,NOCVE,service_match
3e0962d7-a130-430f-a459-db07c3588dff,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,4.3,Medium,WebCalendar Multiple Cross Site Scripting Vulnerabilities,NOCVE,service_match
f3e47bcd-8097-4779-bae0-ffdbf316ba73,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,4.3,Medium,OrangeHRM jobVacancy.php Cross Site Scripting Vulnerability,NOCVE,service_match
c7c6ffa6-15d7-4ebe-9414-f1bf7e81bdb0,192.168.100.8,80.0,tcp,http,Apache httpd,2.2.14,4.3,Medium,OrangeHRM jobVacancy.php Cross Site Scripting Vulnerability,NOCVE,service_match
7dfca94b-fc82-4bbf-8bab-43c5bddc308e,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,4.0,Medium,SSL/TLS: Certificate Signed Using A Weak Signature Algorithm,NOCVE,service_match
035381ad-669d-446a-9c20-c5fb67fd77bb,192.168.100.8,443.0,tcp,http,Apache httpd,2.2.14,4.0,Medium,SSL/TLS: Diffie-Hellman Key Exchange Insufficient DH Group Strength Vulnerability,NOCVE,service_match
bd986705-d114-4491-b4d7-652319b826e9,192.168.100.8,,,,,,2.6,Low,TCP timestamps,NOCVE,host_level
ad7a1731-2d85-403c-afe8-b59c96b166e4,192.168.100.8,22.0,tcp,ssh,OpenSSH,5.3p1 Debian 3ubuntu4,2.6,Low,SSH Weak MAC Algorithms Supported,NOCVE,service_match
