result_id,cve_id
4ccc2ed1-47e1-4269-a215-d085358eff59,CVE-2018-20719
daa6eb2b-2146-4c09-87e6-398a3b1495e6,CVE-2018-20719
95c9463c-5c6e-4a35-ab99-41eecf9a1a62,CVE-2018-17855
e3fffe4a-b207-49d5-8d04-5ebdfe856a5b,CVE-2018-17855
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2003-1567
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2004-2320
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2004-2763
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2005-3398
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2006-4683
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2007-3008
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2008-7253
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2009-2823
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2010-0386
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2012-2223
1f930242-4f0c-4f01-bbf8-501f3e377caa,CVE-2014-7883
0681b874-0912-4392-94aa-f1e108295d43,CVE-2003-1567
0681b874-0912-4392-94aa-f1e108295d43,CVE-2004-2320
0681b874-0912-4392-94aa-f1e108295d43,CVE-2004-2763
0681b874-0912-4392-94aa-f1e108295d43,CVE-2005-3398
0681b874-0912-4392-94aa-f1e108295d43,CVE-2006-4683
0681b874-0912-4392-94aa-f1e108295d43,CVE-2007-3008
0681b874-0912-4392-94aa-f1e108295d43,CVE-2008-7253
0681b874-0912-4392-94aa-f1e108295d43,CVE-2009-2823
0681b874-0912-4392-94aa-f1e108295d43,CVE-2010-0386
0681b874-0912-4392-94aa-f1e108295d43,CVE-2012-2223
0681b874-0912-4392-94aa-f1e108295d43,CVE-2014-7883
2fec1c59-3306-4b4b-b85c-b69970885dbf,CVE-2016-2183
2fec1c59-3306-4b4b-b85c-b69970885dbf,CVE-2016-6329
c99029e4-2e77-463f-9d4a-ca0acb0cb015,CVE-2017-14596
2c73059e-dc8b-46d3-9e6b-1b861b39f6ff,CVE-2017-14596
5afca4a4-360b-4b51-9cd6-0c670c4ea0cb,CVE-2017-7983
5afca4a4-360b-4b51-9cd6-0c670c4ea0cb,CVE-2017-7986
5afca4a4-360b-4b51-9cd6-0c670c4ea0cb,CVE-2017-7985
71e742ed-c44d-4e94-81b5-e772c4aaa684,CVE-2017-7983
71e742ed-c44d-4e94-81b5-e772c4aaa684,CVE-2017-7986
71e742ed-c44d-4e94-81b5-e772c4aaa684,CVE-2017-7985
4eedaf5b-f663-4ccd-a2c3-eba35cc60b65,CVE-2008-5318
4eedaf5b-f663-4ccd-a2c3-eba35cc60b65,CVE-2008-5319
6db38779-fd07-49a9-a36a-c6f4fbc26e3f,CVE-2008-5318
6db38779-fd07-49a9-a36a-c6f4fbc26e3f,CVE-2008-5319
9267172f-6947-4ebe-ba0e-91507c5113b8,CVE-2017-14596
99dbaaa7-1899-42dd-916f-58f8ff4dda54,CVE-2017-14596
9acbae73-f540-4258-9a5d-e7fecaa5a5e6,CVE-2016-1776
9acbae73-f540-4258-9a5d-e7fecaa5a5e6,CVE-2018-6470
13b8ab47-5b29-4980-955b-691549cc4ee9,CVE-2016-1776
13b8ab47-5b29-4980-955b-691549cc4ee9,CVE-2018-6470
3b1cccf0-ade3-44c9-ae1b-022065526548,CVE-2016-10143
e0d97c64-a27a-43da-976b-adffba1dfd30,CVE-2016-10143
630e3544-72ab-40f8-be15-6922c393b6bc,CVE-2006-2247
70954edd-9b82-4bfa-ad12-d5425316586d,CVE-2016-0800
70954edd-9b82-4bfa-ad12-d5425316586d,CVE-2014-3566
c6a2859b-7df4-4185-b4ea-a876802b4140,CVE-2013-2566
c6a2859b-7df4-4185-b4ea-a876802b4140,CVE-2015-2808
c6a2859b-7df4-4185-b4ea-a876802b4140,CVE-2015-4000
b2155893-0cdc-4c5e-8b2e-e76b3887aa54,CVE-2014-3566
86520ff1-b9f6-4e10-9b11-b667ecfd3b45,CVE-2003-1418
0abf165b-6764-496a-b844-777c119c50ba,CVE-2003-1418
ee014e7b-0075-4862-a667-a1875f244395,CVE-2018-6379
0ea529d4-54db-4d1d-ac16-bcc4e81fe14a,CVE-2018-6379
1b101de0-ae59-4d64-9ad1-e7cf3d2686d0,CVE-2012-6708
da7ee2f4-c14a-47bc-ac99-552ce38e9b6d,CVE-2018-6378
4d2f2422-2db0-479c-bfcf-018b6aa92776,CVE-2018-6378
45f054db-7b05-4218-9750-d7f9671e6b07,CVE-2017-11612
38e0d6b7-860e-436d-8da5-b98e06e0a61d,CVE-2017-11612
710a901b-5d74-408d-a94e-3ba23e22a157,CVE-2010-3712
1d4d5fd9-e2cb-4950-b63f-e52957dbfa07,CVE-2010-3712
a943f404-2c12-4c71-8d55-972d44b9e13c,CVE-2012-0053
d2eb1c44-069f-480c-8c59-e6365c781051,CVE-2012-0053
325b0328-6059-4e85-b4eb-27d9585da2e8,CVE-2010-4480
831bd7cd-3c17-4a2e-8702-858261d8e08d,CVE-2010-4480
c971f5c2-803b-424f-85c3-c8f41928bc8f,CVE-2009-1204
922228fa-f449-4569-bb0e-4faa08c331ef,CVE-2009-1204
956c85ed-d484-43ef-a6fe-cdd612bc54f0,CVE-2018-7188
12ffe918-985a-4d4f-9b35-596759ac46a1,CVE-2018-7188
f23c8f01-bcbf-4f5d-8966-4bbdc17c2762,CVE-2009-0796
d34d917e-80e3-4db8-a745-d767dbcde97b,CVE-2009-0796
c3210ba8-467d-492c-8fc9-ea06603e9099,CVE-2012-4929
c3210ba8-467d-492c-8fc9-ea06603e9099,CVE-2012-4930
