scenario,host_count,vulns_per_host,vulnerability_count,graph_nodes,graph_edges,attack_nodes,attack_edges,path_count,mean_seconds,median_seconds,min_seconds,max_seconds,mean_peak_memory_mb
S1,5,5,15,23,33,5,8,6,0.002901419997215271,0.0021106996573507786,0.0014315000735223293,0.00595569983124733,0.04162178039550781
S2,10,10,80,98,168,10,23,36,0.032122720032930374,0.022134900093078613,0.01176149956882,0.06888330029323697,0.11910552978515625
S3,20,20,360,398,738,20,53,171,0.03400117997080088,0.026325299870222807,0.02383279986679554,0.06728369975462556,0.45647544860839845
S4,40,40,1520,1598,3078,40,113,741,0.12533457996323705,0.12060489971190691,0.10499580018222332,0.16475229989737272,1.839273452758789
S5,80,80,6240,6398,12558,80,233,3081,0.3551544999703765,0.3448501001112163,0.3315743999555707,0.40941209997981787,7.691887283325196
