step,run,execution_seconds
attack_step_construction,1,1.3853168999776244
attack_step_construction,2,1.1632245001383126
attack_step_construction,3,1.1562536996789277
attack_step_construction,4,1.136677199974656
attack_step_construction,5,1.3852029000408947
attack_path_generation,1,2.4213717998936772
attack_path_generation,2,2.801843599881977
attack_path_generation,3,2.271269000135362
attack_path_generation,4,2.8566042999736965
attack_path_generation,5,1.8122984003275633
path_feature_extraction,1,1.255846899934113
path_feature_extraction,2,1.368089399766177
path_feature_extraction,3,1.1933339997194707
path_feature_extraction,4,1.1980106001719832
path_feature_extraction,5,1.197042599786073
chain_evidence,1,1.3844662997871637
chain_evidence,2,1.230976200196892
chain_evidence,3,1.2202163999900222
chain_evidence,4,1.1969568999484181
chain_evidence,5,1.1937718000262976
pareto_prioritisation,1,1.5492269000969827
pareto_prioritisation,2,1.1503893001936376
pareto_prioritisation,3,1.140562899876386
pareto_prioritisation,4,1.1169548002071679
pareto_prioritisation,5,1.2976060002110898
ai_attack_prediction,1,19.712388100102544
ai_attack_prediction,2,3.994236099999398
ai_attack_prediction,3,3.61812200024724
ai_attack_prediction,4,3.4594095000065863
ai_attack_prediction,5,4.134319499600679
ai_path_context,1,1.250319799873978
ai_path_context,2,1.5155304996296763
ai_path_context,3,1.2161433999426663
ai_path_context,4,1.2258966001681983
ai_path_context,5,1.2756143999285996
