model,micro_precision,micro_recall,micro_f1,macro_f1,hamming_loss,micro_f1_change
Default threshold,0.9056603773584906,0.07868852459016394,0.14479638009049775,0.04745375340850389,0.057698178487839626,0.0
Validation-tuned threshold,0.44992050874403816,0.4639344262295082,0.45682001614205003,0.20096721228302694,0.06848478681184492,0.31202363605155226
