step,mean_seconds,median_seconds,min_seconds,max_seconds
ai_attack_prediction,6.983695039991289,3.994236099999398,3.4594095000065863,19.712388100102544
ai_path_context,1.2967009399086238,1.250319799873978,1.2161433999426663,1.5155304996296763
attack_path_generation,2.432677420042455,2.4213717998936772,1.8122984003275633,2.8566042999736965
attack_step_construction,1.245335039962083,1.1632245001383126,1.136677199974656,1.3853168999776244
chain_evidence,1.2452775199897588,1.2202163999900222,1.1937718000262976,1.3844662997871637
pareto_prioritisation,1.2509479801170529,1.1503893001936376,1.1169548002071679,1.5492269000969827
path_feature_extraction,1.2424646998755633,1.1980106001719832,1.1933339997194707,1.368089399766177
